AC,80,76,71,15930.97,3644.36,12286.61,77.120000,199.140000,45.550000,20.7,41.7,-21,110.000000,4.2
AL,397,387,246,79039.69,15394.70,63644.99,80.520000,199.090000,38.780000,24.5,33.2,-8.7,82.120000,3.83
AM,145,140,116,22211.74,5456.87,16754.87,75.430000,153.180000,37.630000,26.3,46.2,-19.9,108.280000,4.09
AP,67,66,62,13374.81,2767.00,10607.81,79.310000,199.620000,41.300000,28.2,46.6,-18.4,114.930000,4.26
BA,3256,3158,947,494374.86,97710.97,396663.89,80.240000,151.840000,30.010000,19.2,30.2,-11,97.820000,3.87
CE,1279,1258,509,220100.28,46734.86,173365.42,78.770000,172.090000,36.540000,20.9,32,-11.1,94.610000,3.87
DF,2080,2019,770,297365.57,49799.96,247565.61,83.250000,142.960000,23.940000,12.9,25.1,-12.2,105.190000,4.06
ES,1995,1928,726,268893.92,49110.46,219783.46,81.740000,134.780000,24.620000,15.6,26.2,-10.7,98.100000,4.02
GO,1957,1895,711,285152.46,51672.09,233480.37,81.880000,145.710000,26.400000,15.3,27.6,-12.3,107.820000,4.04
MA,717,700,366,117109.38,30854.72,86254.66,73.650000,163.330000,43.030000,21.6,31.5,-9.9,89.120000,3.75
MG,11354,11001,1634,1555297.10,267077.80,1288219.30,82.830000,136.980000,23.520000,11.9,25.3,-13.4,107.900000,4.12
MS,701,681,401,116360.75,19036.07,97324.68,83.640000,165.990000,27.160000,15.5,26.7,-11.2,103.710000,4.06
MT,886,856,457,152269.42,29067.59,123201.83,80.910000,171.860000,32.810000,17.9,32.5,-14.6,109.370000,4.01
PA,946,922,457,174715.55,37660.46,137055.09,78.440000,184.690000,39.810000,23.7,37.9,-14.2,98.100000,3.85
PB,517,504,295,112586.82,25251.73,87335.09,77.570000,217.770000,48.840000,20.5,33.6,-13,100.580000,4.03
PE,1593,1551,620,252118.27,57197.32,194920.95,77.310000,158.270000,35.910000,18.2,31.7,-13.5,98.740000,4.02
PI,476,464,292,84721.00,20457.19,64263.81,75.850000,177.990000,42.980000,19.3,30.8,-11.5,92.860000,3.96
PR,4923,4769,1207,666722.49,115800.06,550922.43,82.630000,135.430000,23.520000,11.9,25.4,-13.5,109.430000,4.15
RJ,12350,11917,1705,1763042.34,296477.83,1466564.51,83.180000,142.760000,24.010000,15.1,27.1,-12,99.920000,3.88
RN,474,464,273,82118.98,18643.27,63475.71,77.300000,173.250000,39.330000,19.3,33.2,-14,98.730000,4.11
RO,243,231,180,45682.76,11283.24,34399.52,75.300000,187.990000,46.430000,19.7,39.7,-20,107.820000,4.08
RR,41,40,34,7057.47,1982.05,5075.42,71.920000,172.130000,48.340000,28.2,46.5,-18.3,100.000000,3.89
RS,5345,5168,1207,730730.28,133047.74,597682.54,81.790000,136.710000,24.890000,15.1,29.3,-14.2,107.330000,4.1
SC,3546,3449,1017,507396.77,88214.16,419182.61,82.610000,143.090000,24.880000,15,26.5,-11.6,104.600000,4.05
SE,335,329,209,56574.19,13714.94,42859.25,75.760000,168.880000,40.940000,21.4,31.4,-10,93.730000,3.89
SP,40501,39156,2445,5081539.95,703951.38,4377588.57,86.150000,125.470000,17.380000,8.7,19.9,-11.2,108.360000,4.18
TO,274,267,194,48402.51,11604.86,36797.65,76.020000,176.650000,42.350000,17.4,29.7,-12.3,99.270000,4.16
